ID,Title,Type,Epic,Priority,Status,Acceptance Criteria
US-101,Homepage Hero & Category Discovery,Feature,Browse & Discover,High,To Do,"Homepage menampilkan banner hero dengan CTA; kategori utama tampil sebagai tile dapat diklik; produk featured muncul dalam satu row."
US-102,Search dengan Autocomplete,Feature,Browse & Discover,High,To Do,"Autocomplete suggestion muncul saat mengetik; hasil search menampilkan produk sesuai query; typo tolerance menghasilkan suggestion relevan."
US-103,PLP Filter & Sort,Feature,Browse & Discover,High,To Do,"Filter harga, brand, ukuran, warna bekerja bersama; produk update sesuai filter; sort by relevance/price/newest tersedia."
US-201,Product Detail Page,Feature,Product Detail & Selection,High,To Do,"Galeri foto zoom berfungsi; varian warna/ukuran dapat dipilih; stok dan harga tampil akurat."
US-202,Add to Cart,Feature,Product Detail & Selection,High,To Do,"Tombol Add to Cart tersedia ketika stok > 0; cart counter bertambah setelah klik; konfirmasi singkat muncul."
US-203,Wishlist Basic,Feature,Product Detail & Selection,Medium,To Do,"Tombol wishlist add/remove ada; produk tersimpan muncul di halaman wishlist."
US-301,Cart Review,Feature,Cart & Checkout,High,To Do,"User dapat ubah qty atau hapus item; total harga update otomatis; promo auto-apply atau input voucher tersedia."
US-302,Multi-step Checkout,Feature,Cart & Checkout,High,To Do,"Checkout wizard menampilkan 3 step; user dapat kembali antar step tanpa kehilangan data; order konfirmasi memunculkan nomor order."
US-303,Payment Integration,Feature,Cart & Checkout,High,To Do,"Payment option tampil; checkout berhasil dan order status berubah setelah pembayaran."
US-401,User Auth & Profile,Feature,User Account & Order Tracking,High,To Do,"User dapat registrasi/login via email; profil bisa diedit; alamat tersimpan reusable di checkout."
US-402,Order History & Tracking,Feature,User Account & Order Tracking,Medium,To Do,"Order history menampilkan list order; setiap order menunjukkan status terkini."
US-403,Return Request Basic,Feature,User Account & Order Tracking,Low,To Do,"User dapat pilih item return; form return terkirim ke sistem."
US-501,Admin Product Management,Feature,Admin & Merchant,High,To Do,"Admin dapat create/update/delete produk; produk berubah tampil di katalog sesuai publish status."
US-502,Admin Home CMS,Feature,Admin & Merchant,High,To Do,"Admin UI untuk upload banner tersedia; homepage menampilkan content baru tanpa deploy."
US-503,Merchant Order Processing,Feature,Admin & Merchant,Medium,To Do,"Merchant dashboard menampilkan order queue; merchant dapat update order status ke packed/shipped."
